#;name;country;state;massif;length_decimals;length;depth_decimals;depth;entrances;terrain_type;source;updated_year;updated_month
236;Gouffre Nebele;France;Pyrenees-Atlantiques;Aquitaine;24038,00;24038;475,00;475;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
9;Lechuguilla Cave (C.C.N.P.);USA;New Mexico;Eddy;244790,00;244790;484,20;484;0;Limestone;Max Wissak email;2023;1
306;Lingshandong;China;Guizhou;Zhengan;19301,00;19301;485,00;485;0;Limestone;Long Caves in China by Erin Lynch;2016;1
613;Hue Hue (Manini Owali) Cave;USA;Hawaii;Hawaii;10800,30;10800;494,70;494;0;Lava;Stephan Kempe;1999;10
220;Tjoarvekrajgge;Norway;Nordland;Sorfold;25167,00;25167;497,00;497;0;Limestone;Torstein Finnesand e-mail;2016;6
65;Cueva del Valle (Red Del Silencio);Spain;Cantabria;Vizcaya/Cantabria;60223,00;60223;502,00;502;0;Limestone;Jose Luis Membrado email;2023;6
269;Gouffre de Cabrespine (lo Gaugnas);France;Aude;Montagne Noire;22500,00;22500;504,00;504;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
582;Systäme Pinet - Brouillard;France;Alpes-Cìte d'Azur;-;11175,00;11175;507,00;507;0;Limestone;Liste des cavites naturelles les plus longues de France;2022;6
205;Sistema Tibia-Fresca;Spain;Cantabria;Porracolina;26400,00;26400;507,00;507;0;Limestone;Jose Luis Membrado e-mail;2021;11
172;Systeme Prerouge - Litorne;France;Savoie;Bauges;31292,00;31292;508,00;508;0;Limestone;Jose Luis e-mail;2015;2
603;SÅdwandhîhle;Austria;Dachstein;Stmk/Oô;10904,00;10904;509,00;509;0;Limestone;Lukas Plan email;2024;6
630;Munizaba;Croatia;Juzni Velebit;Crnopac;10538,00;10538;510,00;510;0;Limestone;Aida Bari?i? email;2024;12
358;Cueva Tonio - Cayueia;Spain;Cantabria;Porracolina;17005,00;17005;527,00;527;0;Limestone;Jose Luis Membrado e-mail;2019;9
75;Mamo Kananda;Papua New Guinea;Southern Highland;Muller Range;54800,00;54800;528,00;528;0;Limestone;Atlas Des Grandes Cavites Mondia.;2016;1
275;Sistema del Hoyon de Saco(Sistema del Hoyo Grande);Spain;Cantabria;Porracolina;21800,00;21800;530,00;530;0;Limestone;Clasificacion Por Desnivel;2016;7
317;Cueva del Hoyo Salcedillo;Spain;Cantabria;Porracolina;18800,00;18800;532,00;532;0;Limestone;Jose Luis Membrado e-mail;2015;2
588;Sistema del Alba;Spain;Huesca;Pirineos;11097,00;11097;534,00;534;0;Limestone;Pepe Membrado e-mail;2023;4
314;Cueva del Nacimiento;Spain;Cantabria;Picos de Europa;18925,00;18925;536,00;536;0;Limestone;Jose Luis Membrado e-mail;2024;12
368;Kolkina Dupka;Bulgaria;Sofia;Balkan Mountains;16471,00;16471;542,00;542;0;Limestone;Wikipedia;2022;8
72;Sistema de Atxuriaga (Complex);Spain;Bizkaia;Galdames;56000,00;56000;546,00;546;0;Limestone;Jose Luis Membrado e-mail;2016;10
